,precision,recall,f1-score,support
Alzheimer's disease,0.9296875,0.9916666666666667,0.9596774193548387,120.0
Amyotrophic Lateral Sclerosis,0.9411764705882353,0.9333333333333333,0.9372384937238494,120.0
Bell's palsy,0.9836065573770492,1.0,0.9917355371900827,120.0
Brain tumor,0.9915254237288136,0.975,0.9831932773109243,120.0
Cerebellar Ataxia,1.0,1.0,1.0,120.0
Cerebral palsy,1.0,1.0,1.0,120.0
Cervical Myelopathy,0.9262295081967213,0.9416666666666667,0.9338842975206612,120.0
Chronic Inflammatory Demyelinating Polyneuropathy,0.9917355371900827,1.0,0.995850622406639,120.0
Cluster Headache,0.975609756097561,1.0,0.9876543209876543,120.0
Dementia,0.9917355371900827,1.0,0.995850622406639,120.0
Encephalitis,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
Epilepsy,0.9915966386554622,0.9833333333333333,0.9874476987447699,120.0
Essential tremor,1.0,1.0,1.0,120.0
Guillain-Barre syndrome,0.9274193548387096,0.9583333333333334,0.9426229508196722,120.0
Huntington's disease,0.9649122807017544,0.9166666666666666,0.9401709401709402,120.0
Idiopathic Intracranial Hypertension,0.9917355371900827,1.0,0.995850622406639,120.0
Meningitis,1.0,0.9833333333333333,0.9915966386554622,120.0
Migraine,0.9752066115702479,0.9833333333333333,0.979253112033195,120.0
Multiple sclerosis,0.9824561403508771,0.9333333333333333,0.9572649572649573,120.0
Myasthenia gravis,1.0,0.9916666666666667,0.99581589958159,120.0
Neuromyelitis Optica,0.9917355371900827,1.0,0.995850622406639,120.0
Normal pressure hydrocephalus,0.9752066115702479,0.9833333333333333,0.979253112033195,120.0
Optic Neuritis,0.9917355371900827,1.0,0.995850622406639,120.0
Parkinson's disease,0.8925619834710744,0.9,0.8962655601659751,120.0
Peripheral neuropathy,0.9243697478991597,0.9166666666666666,0.9205020920502092,120.0
Progressive Supranuclear Palsy,0.9745762711864406,0.9583333333333334,0.9663865546218487,120.0
Spinal cord injury,0.975609756097561,1.0,0.9876543209876543,120.0
Stroke,0.9495798319327731,0.9416666666666667,0.9456066945606695,120.0
Transverse Myelitis,0.9482758620689655,0.9166666666666666,0.9322033898305084,120.0
Trigeminal neuralgia,1.0,0.975,0.9873417721518988,120.0
accuracy,0.9725,0.9725,0.9725,0.9725
macro avg,0.9726650219649577,0.9725,0.9724562939486806,3600.0
weighted avg,0.9726650219649576,0.9725,0.9724562939486805,3600.0
